Step	Time	Epot	Ekin	Etot	T
118	0.000118	0.000313	945.645239	945.645552	1.047155
119	0.000119	0.000318	945.647113	945.647431	1.047157
120	0.000120	0.000324	945.648990	945.649314	1.047159
121	0.000121	0.000329	945.650871	945.651201	1.047161
122	0.000122	0.000335	945.652757	945.653092	1.047163
123	0.000123	0.000340	945.654647	945.654988	1.047165
124	0.000124	0.000346	945.656541	945.656887	1.047167
125	0.000125	0.000352	945.658440	945.658792	1.047169
126	0.000126	0.000358	945.660342	945.660700	1.047171
127	0.000127	0.000363	945.662249	945.662612	1.047173
128	0.000128	0.000369	945.664160	945.664529	1.047176
129	0.000129	0.000375	945.666075	945.666450	1.047178
130	0.000130	0.000381	945.667994	945.668375	1.047180
131	0.000131	0.000387	945.669918	945.670305	1.047182
132	0.000132	0.000393	945.671846	945.672239	1.047184
133	0.000133	0.000399	945.673778	945.674177	1.047186
134	0.000134	0.000405	945.675714	945.676119	1.047188
135	0.000135	0.000411	945.677654	945.678065	1.047190
136	0.000136	0.000417	945.679599	945.680016	1.047193
137	0.000137	0.000424	945.681547	945.681971	1.047195
138	0.000138	0.000430	945.683500	945.683930	1.047197
139	0.000139	0.000436	945.685457	945.685894	1.047199
140	0.000140	0.000443	945.687418	945.687861	1.047201
141	0.000141	0.000449	945.689384	945.689833	1.047203
142	0.000142	0.000456	945.691354	945.691809	1.047206
143	0.000143	0.000462	945.693327	945.693790	1.047208
144	0.000144	0.000469	945.695305	945.695774	1.047210
145	0.000145	0.000476	945.697288	945.697763	1.047212
146	0.000146	0.000482	945.699274	945.699756	1.047214
147	0.000147	0.000489	945.701265	945.701754	1.047217
148	0.000148	0.000496	945.703260	945.703755	1.047219
149	0.000149	0.000503	945.705259	945.705761	1.047221
150	0.000150	0.000510	945.707262	945.707771	1.047223
151	0.000151	0.000517	945.709269	945.709786	1.047225
152	0.000152	0.000524	945.711281	945.711804	1.047228
153	0.000153	0.000531	945.713296	945.713827	1.047230
154	0.000154	0.000538	945.715316	945.715854	1.047232
155	0.000155	0.000545	945.717341	945.717885	1.047234
156	0.000156	0.000552	945.719369	945.719921	1.047237
157	0.000157	0.000559	945.721401	945.721961	1.047239
