Step	Time	Epot	Ekin	Etot	T
96	0.960000	0.000000	6047.465777	6047.465777	1.000000
97	0.970000	0.000000	6047.465585	6047.465585	1.000000
98	0.980000	0.000000	6047.465412	6047.465412	1.000000
99	0.990000	0.000000	6047.465257	6047.465257	1.000000
100	1.000000	0.000000	6047.465117	6047.465117	1.000000
101	1.010000	0.000000	6047.464991	6047.464991	1.000000
102	1.020000	0.000000	6047.464877	6047.464877	1.000000
103	1.030000	0.000000	6047.464776	6047.464776	1.000000
104	1.040000	0.000000	6047.464684	6047.464684	1.000000
105	1.050000	0.000000	6047.464601	6047.464601	1.000000
106	1.060000	0.000000	6047.464527	6047.464527	1.000000
107	1.070000	0.000000	6047.464460	6047.464460	1.000000
108	1.080000	0.000000	6047.464400	6047.464400	1.000000
109	1.090000	0.000000	6047.464346	6047.464346	1.000000
110	1.100000	0.000000	6047.464297	6047.464297	1.000000
111	1.110000	0.000000	6047.464253	6047.464253	1.000000
112	1.120000	-0.001097	6047.464967	6047.463871	1.000000
113	1.130000	-0.002722	6047.466410	6047.463688	1.000000
114	1.140000	-0.004781	6047.468614	6047.463833	1.000001
115	1.150000	-0.008384	6047.471582	6047.463198	1.000001
116	1.160000	-0.012573	6047.474814	6047.462241	1.000002
117	1.170000	-0.017545	6047.478525	6047.460980	1.000002
118	1.180000	-0.023627	6047.483026	6047.459399	1.000003
119	1.190000	-0.031075	6047.488226	6047.457151	1.000004
120	1.200000	-0.039670	6047.494005	6047.454335	1.000005
121	1.210000	-0.049653	6047.500536	6047.450883	1.000006
122	1.220000	-0.061324	6047.508031	6047.446707	1.000007
123	1.230000	-0.075057	6047.516755	6047.441697	1.000008
124	1.240000	-0.091323	6047.527034	6047.435711	1.000010
125	1.250000	-0.110711	6047.539279	6047.428568	1.000012
126	1.260000	-0.133964	6047.554009	6047.420044	1.000014
127	1.270000	-0.162022	6047.571875	6047.409853	1.000017
128	1.280000	-0.196071	6047.593704	6047.397633	1.000020
129	1.290000	-0.238995	6047.621674	6047.382679	1.000025
130	1.300000	-0.292356	6047.657149	6047.364793	1.000030
131	1.310000	-0.358022	6047.700768	6047.342747	1.000037
132	1.320000	-0.439197	6047.754960	6047.315763	1.000045
133	1.330000	-0.539623	6047.822564	6047.282941	1.000056
134	1.340000	-0.664308	6047.906068	6047.241760	1.000069
135	1.350000	-0.816591	6048.007333	6047.190742	1.000085
136	1.360000	-0.997593	6048.125268	6047.127675	1.000104
137	1.370000	-1.201707	6048.251857	6047.050150	1.000125
138	1.380000	-1.405101	6048.360675	6046.955574	1.000148
139	1.390000	-1.535139	6048.377125	6046.841986	1.000164
140	1.400000	-1.402008	6048.116033	6046.714026	1.000155
141	1.410000	-0.578774	6047.180677	6046.601903	1.000077
